"v_family","v_3p_del","proportions"
"IGHVF1",0,0.478989431336938
"IGHVF1",1,0.262163521280708
"IGHVF1",2,0.0952135551519635
"IGHVF1",3,0.103338500604695
"IGHVF1",4,0.0212337449141166
"IGHVF1",5,0.0175241150874626
"IGHVF1",6,0.00970671232705918
"IGHVF1",7,0.00456326859698193
"IGHVF1",8,0.00447266818221489
"IGHVF1",9,0.00151693354999855
"IGHVF1",10,0.000364064051999651
"IGHVF1",11,0.000250190136191541
"IGHVF1",12,0.000110549129945099
"IGHVF1",13,7.48076819177365e-05
"IGHVF1",14,6.73269137259628e-05
"IGHVF1",15,7.73012713149944e-05
"IGHVF1",16,5.90149490684366e-05
"IGHVF1",17,3.82350374246209e-05
"IGHVF1",18,3.65726444931156e-05
"IGHVF1",19,2.74294833698367e-05
"IGHVF1",20,1.82863222465578e-05
"IGHVF1",21,1.24679469862894e-05
"IGHVF1",22,1.66239293150526e-05
"IGHVF1",23,9.1431611232789e-06
"IGHVF1",24,9.97435758903153e-06
"IGHVF1",25,4.98717879451577e-06
"IGHVF1",26,1.24679469862894e-05
"IGHVF1",27,1.66239293150526e-06
"IGHVF1",28,5.81837526026839e-06
"IGHVF1",29,7.48076819177365e-06
"IGHVF1",30,2.49358939725788e-06
"IGHVF1",31,5.81837526026839e-06
"IGHVF1",32,2.49358939725788e-06
"IGHVF1",33,4.15598232876314e-06
"IGHVF1",34,1.66239293150526e-06
"IGHVF1",35,3.32478586301051e-06
"IGHVF1",36,8.31196465752628e-07
"IGHVF1",37,1.66239293150526e-06
"IGHVF1",38,2.49358939725788e-06
"IGHVF1",39,8.31196465752628e-07
"IGHVF1",40,8.31196465752628e-07
"IGHVF1",41,2.49358939725788e-06
"IGHVF1",43,1.66239293150526e-06
"IGHVF1",44,4.15598232876314e-06
"IGHVF1",45,8.31196465752628e-07
"IGHVF1",47,8.31196465752628e-07
"IGHVF1",50,8.31196465752628e-07
"IGHVF1",51,8.31196465752628e-07
"IGHVF1",52,8.31196465752628e-07
"IGHVF1",53,3.32478586301051e-06
"IGHVF1",54,8.31196465752628e-07
"IGHVF1",56,3.32478586301051e-06
"IGHVF1",58,7.48076819177365e-06
"IGHVF1",59,2.49358939725788e-06
"IGHVF1",60,8.31196465752628e-07
