"","imgt_allele","alleles_family","alleles_group","new_allele","duplicated"
"1","IGKV2D-30*01","1","1","IGKVS1F1-G1*01","false"
"2","IGKV2-30*01","1","1","IGKVS1F1-G1*02","false"
"3","IGKV2-30*02","1","1","IGKVS1F1-G1*03","false"
"4","IGKV2D-24*01","1","2","IGKVS1F1-G2*01","false"
"5","IGKV2-24*01","1","2","IGKVS1F1-G2*02","false"
"6","IGKV2-24*02","1","2","IGKVS1F1-G2*03","false"
"7","IGKV2D-26*01","1","3","IGKVS1F1-G3*01","false"
"8","IGKV2D-26*02","1","3","IGKVS1F1-G3*02","false"
"9","IGKV2D-26*03","1","3","IGKVS1F1-G3*03","false"
"10","IGKV2D-28*01","1","4","IGKVS1F1-G4*01","true"
"11","IGKV2-28*01","1","4","IGKVS1F1-G4*01","false"
"12","IGKV2/OR22-4*01","1","5","IGKVS1F1-G5*01","false"
"13","IGKV2D-40*01","1","6","IGKVS1F1-G6*01","true"
"14","IGKV2-40*01","1","6","IGKVS1F1-G6*01","false"
"15","IGKV2D-29*01","1","7","IGKVS1F1-G7*01","false"
"16","IGKV2D-29*02","1","7","IGKVS1F1-G7*02","false"
"17","IGKV2-29*02","1","7","IGKVS1F1-G7*03","false"
"18","IGKV2-29*01","1","7","IGKVS1F1-G7*04","false"
"19","IGKV2-29*03","1","7","IGKVS1F1-G7*05","false"
"20","IGKV2-18*01","1","8","IGKVS1F1-G8*01","false"
"21","IGKV2D-18*01","1","8","IGKVS1F1-G8*02","false"
"22","IGKV2/OR2-7D*01","1","9","IGKVS1F1-G9*01","false"
"23","IGKV2-4*01","1","10","IGKVS1F1-G10*01","false"
"24","IGKV2-4*02","1","10","IGKVS1F1-G10*02","false"
"25","IGKV5-2*01","2","11","IGKVS1F2-G11*01","false"
"26","IGKV5-2*02","2","11","IGKVS1F2-G11*02","false"
"27","IGKV1/OR2-3*01","3","12","IGKVS1F3-G12*01","false"
"28","IGKV1/OR2-9*01","3","12","IGKVS1F3-G12*02","true"
"29","IGKV1/OR2-11*01","3","12","IGKVS1F3-G12*02","false"
"30","IGKV1D-42*01","3","13","IGKVS1F3-G13*01","false"
"31","IGKV1D-42*02","3","13","IGKVS1F3-G13*02","false"
"32","IGKV1/OR2-108*01","3","14","IGKVS1F3-G14*01","false"
"33","IGKV1/ORY-1*01","3","15","IGKVS1F3-G15*01","false"
"34","IGKV1/OR22-5*01","3","15","IGKVS1F3-G15*02","false"
"35","IGKV1/OR22-5*02","3","15","IGKVS1F3-G15*03","false"
"36","IGKV1/OR9-1*01","3","15","IGKVS1F3-G15*04","false"
"37","IGKV1/OR-2*01","3","15","IGKVS1F3-G15*05","false"
"38","IGKV1/OR9-2*01","3","15","IGKVS1F3-G15*06","false"
"39","IGKV1/OR15-118*01","3","15","IGKVS1F3-G15*07","false"
"40","IGKV1/OR2-0*01","3","15","IGKVS1F3-G15*08","false"
"41","IGKV1/OR1-1*01","3","15","IGKVS1F3-G15*09","false"
"42","IGKV1/OR2-118*01","3","15","IGKVS1F3-G15*10","false"
"43","IGKV1/OR-3*01","3","15","IGKVS1F3-G15*11","false"
"44","IGKV1/OR2-2*01","3","15","IGKVS1F3-G15*12","true"
"45","IGKV1/OR2-1*01","3","15","IGKVS1F3-G15*12","false"
